"group","local_path","source_url","retrieved_at_utc","status","http_status","content_type","size_bytes","sha256","error","data_origin"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/021611_IDR_C8078_DT.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/021611_IDR_C8078_DT.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","845801","62aea5e2177bb67c3ad2ab7849f0b8ddd2d2291ddecbcf710bd42d58dfd108fa","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/021711_IDR_C8078_DT.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/021711_IDR_C8078_DT.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","792405","6419a904a56c41748ab93a254ca8e7c62d8a5781bcfe6dc3f19d234b3c08d64c","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-11-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-11-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","345802","f959ffa693a1e2c755aa3971ce618b225989713c14d0cdbd318fe163f7ad6af0","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-12-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-12-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","344573","ff896bda083737fe68c6af73cd6673cf75d4df22f575622f357cea4e12fac8c4","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-14-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-14-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","361292","e53abb99f2c73c7ad4c4fa7780ba768d9e6aee4d11beb2af12802080de73b844","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-15-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-15-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","348305","76e0588c37ad4abe0e5b5b7dfdd4329419dc345cccb5f728993a06f46af178a2","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-16-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-16-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","342787","b0af8492a4812c63ff284d6a99bf4133d33cfe3a79ca7f9579600f41ed478168","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-17-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-17-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","371223","02513fb0c604d72c3ff39b6e478ded48fb68d570f3e51f4bba54a54d67732e16","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-18-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-18-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","340793","2c51b414ca2a9af47c7aea4cb14d1c8e77bc48c7f11cf7adf5515de6f04df17e","","real"
"wsdot_c8078_legacy_idr","raw/wsdot/C8078/legacy_idr_copies/2011-02-21-IDR-TN.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/IDR/2011-02-21-IDR-TN.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","340603","e342a06b43eb852952e521506d7af5d925d41006fca4b684af045b817fd2df03","","real"
