CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-90000071,IOGP S-710:2020,Air-cooled Heat Exchangers,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,71,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000072,IOGP S-712:2020,General Purpose Gear Units,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,72,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000073,IOGP S-713:2020,Special Purpose Gear Units,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,73,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000074,IOGP S-715:2020,"Coating & Painting for Offshore, Marine Coastal & Subsea Environments",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,74,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000075,IOGP S-717:2020,Noise Emitting Equipment,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,75,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000076,IOGP S-719:2020,Water Fire Mist Protection Systems,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,76,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000077,ISA-TR20.00.01-2007,Specification Forms for Process Measurement and Control Instruments Part 1: General Considerations,no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,77,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000078,ISA-TR84.00.03-2019,Automation Asset Integrity of Safety Instrumented Systems (SIS),no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,78,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000079,ISO 10437:2003,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — STEAM TURBINES — SPECIAL-PURPOSE APPLICATIONS",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,79,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000080,ISO 10438-1:2007,"Lubrication, shaft-sealing and control-oil systems and auxiliaries — Part 1: General requirements",yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,80,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000081,ISO 10439-2:2015,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — AXIAL AND CENTRIFUGAL COMPRESSORS AND EXPANDER-COMPRESSORS — PART 2: NON-INTEGRALLY GEARED CENTRIFUGAL AND AXIAL COMPRESSORS",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,81,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000082,ISO 10440-1:2007,"Petroleum, petrochemical and natural gas industries — Rotary-type positive-displacement compressors — Part 1: Process compressors",no,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,82,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000083,ISO 10441:2007,Flexible couplings for mechanical power transmission — Special-purpose applications,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,83,source_reference_record,source_reference_record_unreviewed
