parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
other mechanical equipment,CFIHOS-30000388,drier,A drier is a physical object that is intended to remove absorbed or adsorbed liquid or water vapour below saturation state.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,293,source_reference_record,source_reference_record_unreviewed
fired heat transfer equipment class,CFIHOS-30000389,flare tip,A burner that burns gas emitted from a process into the atmosphere.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,294,source_reference_record,source_reference_record_unreviewed
mechanical equipment class,CFIHOS-30000390,heat exchanger,A physical object that is intended to transfer heat from one object to another.,yes,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,295,source_reference_record,source_reference_record_unreviewed
fired heat transfer equipment class,CFIHOS-30000391,incinerator,A furnace that is intended for the combustion of waste material.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,296,source_reference_record,source_reference_record_unreviewed
pressure transmitter,CFIHOS-30000395,absolute pressure transmitter,A pressure transmitter where pressure is applied to one side of the sensor while the other side has a vacuum chamber.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,297,source_reference_record,source_reference_record_unreviewed
IT and telecom equipment,CFIHOS-30000397,antenna,An electromagnetic transducer that is a physical object made of conducting material which is capable of radiating or receiving electromagnetic waves.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,298,source_reference_record,source_reference_record_unreviewed
detecting element,CFIHOS-30000398,axial displacement element,A detecting element that is intended to detect axial displacement.,no,no,,axial displacement probe,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,299,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000399,bell,"A physical object that is a hollow body with a flared mouth made of cast metal. Formed to emit a clear musical sound by the sonorous vibration of its entire circumference when struck by a clapper, hammer or other appliance.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,300,source_reference_record,source_reference_record_unreviewed
detecting element,CFIHOS-30000400,capacitance probe,A detecting element that is intended to detect changes in the dielectric constant.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,301,source_reference_record,source_reference_record_unreviewed
analysing instrument,CFIHOS-30000401,cloud point analyser,An analysing instrument that is intended to determine the cloud point of a fluid.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,302,source_reference_record,source_reference_record_unreviewed
