tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000049,fire damper,CFIHOS-30000049,fire damper,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,286,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000050,fire door,CFIHOS-30000050,fire door,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,287,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000512,fire extinguisher,CFIHOS-30000512,fire extinguisher,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,288,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000512,fire extinguisher,CFIHOS-30000931,twin agent skid,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,289,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000512,fire extinguisher,CFIHOS-30000934,water mist skid,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,290,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000051,fire fighting vehicle,CFIHOS-30000051,fire fighting vehicle,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,291,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000052,fire hydrant,CFIHOS-30000052,fire hydrant,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,292,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000619,fire wall,CFIHOS-30000619,fire wall,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,293,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000053,fired heater,CFIHOS-30000053,fired heater,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,294,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000054,firewater monitor,CFIHOS-30000054,firewater monitor,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,295,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000055,first aid kit,CFIHOS-30000055,first aid kit,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,296,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000893,fitness equipment,CFIHOS-30000893,fitness equipment,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,297,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000971,fixture,CFIHOS-30000971,fixture,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,298,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000056,flame arrestor,CFIHOS-30000056,flame arrestor,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,299,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000425,flame detector,CFIHOS-30000425,flame detector,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,300,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000057,flame switch,CFIHOS-30000057,flame switch,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,301,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000304,flange,CFIHOS-30000304,flange,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,302,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000058,flare,CFIHOS-30000058,flare,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,303,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000389,flare tip,CFIHOS-30000389,flare tip,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,304,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000059,flash drum,CFIHOS-30000059,flash drum,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,305,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000426,flash point analyser,CFIHOS-30000426,flash point analyser,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,306,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000828,flexible riser,CFIHOS-30000828,flexible riser,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,307,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000347,floodlight,CFIHOS-30000347,floodlight,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,308,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000972,floor,CFIHOS-30000972,floor,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,309,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000748,flow computer,CFIHOS-30000748,flow computer,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,310,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000671,flow element,CFIHOS-30000023,coriolis mass flow element,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,311,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000671,flow element,CFIHOS-30000040,electromagnetic flow element,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,312,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000671,flow element,CFIHOS-30000858,pitot tube flow meter,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag class equipment class relationship v2.0.csv,313,source_reference_record,source_reference_record_unreviewed
