tag or equipment class CFIHOS unique code,tag or equipment class,source standard CFIHOS unique code,source standard code,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30001015,diaphragm tank,CFIHOS-90000188,ASME BPVC Section VIII-1,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,33,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001028,thermoelectric generator,CFIHOS-90000200,ASME PTC 53-2022,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,34,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000995,shield door,CFIHOS-90000158,BS 436-5:1997,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,35,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000995,shield door,CFIHOS-90000159,BS 5950-1:2000,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,36,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000995,shield door,CFIHOS-90000160,BS 7608+A1:2015,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,37,source_reference_record,source_reference_record_unreviewed
CFIHOS-30001022,piling,CFIHOS-90000189,BS 8004:2015+A1:2020,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,38,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000315,accumulator,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,39,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000515,aerator,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,40,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000102,agitator,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,41,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000103,air balancing unit,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,42,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000382,air conditioner,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,43,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,44,source_reference_record,source_reference_record_unreviewed
